OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
69,River Valley,No,31805,3823,ZCTA,ZCTA5 31805,662,107,247,98,37.3,13.5,164,80,24.8,11.3,99,58,15,8.4,84,46,12.7,6.7,36,38,5.4,5.6,31,39,4.7,5.9,1,13,0.2,2,0,23,0,3.4,411,126,62.1,16.2,219,83,33.1,11.4,32,47,4.8,7.1,67800,21913,0.81582721133015,0.0176162199447146
70,River Valley,No,31806,3824,ZCTA,ZCTA5 31806,1320,112,298,87,22.6,6.3,247,79,18.7,5.8,243,76,18.4,5.6,234,69,17.7,5,247,88,18.7,6.5,19,26,1.4,2,32,32,2.4,2.4,0,33,0,2.5,545,118,41.3,8.2,724,136,54.8,9.2,51,53,3.9,4,125000,18500,1.26218022153471,0.0409944518010065
71,River Valley,No,31807,3825,ZCTA,ZCTA5 31807,926,182,0,37,0,4,167,135,18,14.1,55,49,5.9,5.1,211,91,22.8,8.7,378,145,40.8,13.4,115,84,12.4,8.8,0,18,0,2,0,23,0,2.4,167,139,18,14.6,644,178,69.5,13.5,115,89,12.4,9.3,205500,31564,0.39411674435549,0.00294305249470673
72,River Valley,No,31820,3833,ZCTA,ZCTA5 31820,3559,268,50,60,1.4,1.7,7,44,0.2,1.2,79,63,2.2,1.8,578,206,16.2,5.7,1580,253,44.4,6.3,958,209,26.9,5.5,282,126,7.9,3.5,25,35,0.7,1,57,74,1.6,2.1,2237,333,62.9,8.1,1265,247,35.5,6.4,267900,11607,0.659876849618116,0.0100254131453551
73,River Valley,No,31821,3834,ZCTA,ZCTA5 31821,79,66,55,72,69.6,69.8,0,29,0,36.8,0,18,0,23.3,5,15,6.3,18.6,19,22,24.1,19.7,0,18,0,23.3,0,18,0,23.3,0,23,0,28.5,55,77,69.6,78.9,24,33,30.4,32.6,0,34,0,43.5,,,1.10843850277163,0.0231896737221036
74,RV / TR,No,31822,3835,ZCTA,ZCTA5 31822,1631,210,165,95,10.1,5.7,274,114,16.8,6.7,315,100,19.3,5.6,267,106,16.4,6.2,202,79,12.4,4.6,169,67,10.4,3.9,174,103,10.7,6.1,65,63,4,3.8,439,148,26.9,8.4,784,166,48.1,8.1,408,138,25,7.8,157700,16785,1.20976095353608,0.0288056969890242
75,River Valley,No,31823,3836,ZCTA,ZCTA5 31823,325,92,28,36,8.6,10.9,70,53,21.5,15.1,97,72,29.8,20.3,43,47,13.2,13.9,22,24,6.8,7.1,15,22,4.6,6.7,9,18,2.8,5.6,41,50,12.6,14.8,98,64,30.2,17.8,162,89,49.8,23.4,65,57,20,16.7,135200,25781,0.261529255512117,0.00214305605742951
76,River Valley,No,31824,3837,ZCTA,ZCTA5 31824,547,90,310,99,56.7,15.4,160,63,29.3,10.4,35,25,6.4,4.4,4,15,0.7,2.7,1,15,0.2,2.7,31,30,5.7,5.4,6,16,1.1,2.9,0,23,0,4.1,470,117,85.9,16,40,32,7.3,5.8,37,41,6.8,7.4,37800,15823,1.11873677996878,0.0279654427898809
77,River Valley,No,31825,3838,ZCTA,ZCTA5 31825,779,140,258,102,33.1,11.6,271,85,34.8,9,93,49,11.9,5.9,82,39,10.5,4.6,41,30,5.3,3.8,21,24,2.7,3,7,16,0.9,2,6,20,0.8,2.6,529,133,67.9,11.9,216,69,27.7,7.4,34,35,4.4,4.4,74700,10789,1.37367079599302,0.0327337572778268
78,River Valley,No,31826,3839,ZCTA,ZCTA5 31826,582,147,78,49,13.4,7.7,175,73,30.1,9.9,105,55,18,8.2,50,29,8.6,4.5,147,103,25.3,16.4,25,24,4.3,3.9,0,18,0,3.2,2,19,0.3,3.2,253,88,43.5,10.3,302,120,51.9,15.9,27,35,4.6,6,112300,29308,0.919900397137943,0.0130705161571927
79,River Valley,No,31827,3840,ZCTA,ZCTA5 31827,636,93,191,64,30,9,177,63,27.8,9,91,50,14.3,7.6,96,57,15.1,8.6,58,35,9.1,5.3,22,19,3.5,3,0,18,0,2.9,1,19,0.2,2.9,368,89,57.9,11.2,245,83,38.5,11.8,23,32,3.6,5.1,81200,24813,1.53059613250811,0.0379331548774469
80,River Valley,No,31829,3841,ZCTA,ZCTA5 31829,300,95,13,41,4.3,13.5,0,29,0,9.7,15,27,5,9,15,26,5,8.7,138,73,46,19.5,119,71,39.7,20.1,0,18,0,6.1,0,23,0,7.5,13,50,4.3,16.7,168,82,56,20.9,119,77,39.7,22.3,281100,29527,0.303099435715885,0.00292161008437274
81,RV / TR,No,31830,3842,ZCTA,ZCTA5 31830,479,114,84,58,17.5,11.4,133,65,27.8,11.8,58,36,12.1,6.9,129,85,26.9,16.5,55,40,11.5,7.8,20,24,4.2,4.9,0,18,0,3.8,0,23,0,4.7,217,87,45.3,14.6,242,100,50.5,17.1,20,38,4.2,7.8,126600,52949,1.08413671051046,0.0136879224690639
82,River Valley,No,31831,3843,ZCTA,ZCTA5 31831,1123,174,87,64,7.7,5.5,155,65,13.8,5.4,233,104,20.7,8.7,205,71,18.3,5.7,187,72,16.7,5.8,207,101,18.4,8.6,14,18,1.2,1.6,35,35,3.1,3.1,242,91,21.5,7.4,625,145,55.7,9.6,256,109,22.8,9,163400,13070,1.0308928431144,0.0166387382855261
83,River Valley,No,31832,3844,ZCTA,ZCTA5 31832,121,52,30,39,24.8,30.3,31,28,25.6,20.3,17,18,14,13.9,0,18,0,15.2,37,43,30.6,33,6,15,5,12.4,0,18,0,15.2,0,23,0,18.6,61,48,50.4,33.1,54,50,44.6,36.8,6,33,5,27.1,89300,79160,0.406309030460852,0.00613743071971537
84,RV / TR,No,31833,3845,ZCTA,ZCTA5 31833,1876,263,146,110,7.8,5.7,497,170,26.5,8.2,478,173,25.5,8.5,297,139,15.8,7.1,296,127,15.8,6.4,139,81,7.4,4.2,16,31,0.9,1.7,7,29,0.4,1.5,643,202,34.3,9.6,1071,256,57.1,11,162,92,8.6,4.7,123000,16967,1.22809435998582,0.0249322669605366
85,River Valley,No,31836,3846,ZCTA,ZCTA5 31836,404,85,73,39,18.1,9,131,71,32.4,16.2,42,30,10.4,7.2,84,55,20.8,12.9,51,41,12.6,9.9,23,27,5.7,6.6,0,18,0,4.6,0,23,0,5.6,204,81,50.5,17,177,75,43.8,16.1,23,40,5.7,9.8,90000,54859,0.99320490693709,0.0209374659532799
86,River Valley,No,31901,3847,ZCTA,ZCTA5 31901,642,132,119,69,18.5,10.1,112,61,17.4,8.8,124,49,19.3,6.6,98,46,15.3,6.5,129,57,20.1,7.8,11,21,1.7,3.3,23,23,3.6,3.5,26,33,4,5.2,231,93,36,12.4,351,88,54.7,7.9,60,46,9.3,6.9,140000,18147,0.224627621846643,0.00117616467559096
87,Heart of Georgia Altamaha,No,31011,3576,ZCTA,ZCTA5 31011,323,72,72,37,22.3,10.4,59,37,18.3,10.7,53,36,16.4,10.7,71,62,22,18.6,46,30,14.2,8.6,12,21,3.7,6.6,10,16,3.1,5,0,23,0,7,131,52,40.6,13.5,170,78,52.6,21.1,22,35,6.8,10.8,131300,47368,0.834390725681965,0.0123830813022933
88,Heart of Georgia Altamaha,No,31012,3577,ZCTA,ZCTA5 31012,379,81,177,70,46.7,15.5,96,51,25.3,12.3,71,35,18.7,8.4,25,25,6.6,6.6,10,11,2.6,2.8,0,18,0,4.9,0,18,0,4.9,0,23,0,5.9,273,86,72,16.8,106,45,28,10.2,0,34,0,9.1,54200,14494,0.792268095088188,0.0137042762854853
89,HOGA / MG,No,31014,3578,ZCTA,ZCTA5 31014,3172,220,568,151,17.9,4.6,1051,203,33.1,6,592,145,18.7,4.4,426,118,13.4,3.6,418,112,13.2,3.4,92,60,2.9,1.9,25,22,0.8,0.7,0,36,0,1.1,1619,253,51,7.1,1436,218,45.3,6.1,117,73,3.7,2.3,97700,12988,1.45394735253607,0.0532457919463793
90,HOGA / RV,No,31015,3579,ZCTA,ZCTA5 31015,4290,281,1084,229,25.3,5.1,1370,261,31.9,5.7,433,143,10.1,3.3,470,120,11,2.7,432,125,10.1,2.8,366,118,8.5,2.7,105,59,2.4,1.4,30,56,0.7,1.3,2454,347,57.2,7.2,1335,224,31.1,4.8,501,143,11.7,3.2,84400,5075,1.57734020032282,0.0557126403545638
91,MG / TR,No,31016,3580,ZCTA,ZCTA5 31016,487,86,98,54,20.1,10.4,165,73,33.9,13.6,60,37,12.3,7.3,50,28,10.3,5.5,74,51,15.2,10.1,15,12,3.1,2.4,10,21,2.1,4.2,15,29,3.1,5.9,263,90,54,15.9,184,69,37.8,12.5,40,37,8.2,7.5,92500,21677,1.38849230377877,0.0229019445137949
92,HOGA / MG,No,31017,3581,ZCTA,ZCTA5 31017,546,99,155,72,28.4,12.2,157,65,28.8,10.7,77,46,14.1,8.1,73,63,13.4,11.2,67,45,12.3,8,17,33,3.1,6,0,18,0,3.4,0,23,0,4.1,312,97,57.1,14.4,217,90,39.7,14.8,17,44,3.1,8,77000,19941,1.23756069364559,0.0234868129689937
93,Central Savannah River Area,No,31018,3582,ZCTA,ZCTA5 31018,371,80,172,74,46.4,17.1,108,52,29.1,12.6,30,17,8.1,4.2,1,13,0.3,3.6,29,24,7.8,6.4,31,40,8.4,10.7,0,18,0,5,0,23,0,6.1,280,90,75.5,18.1,60,33,16.2,8.1,31,50,8.4,13.2,55000,23993,1.35513920220295,0.0230465657478486
94,Heart of Georgia Altamaha,No,31019,3583,ZCTA,ZCTA5 31019,629,105,203,67,32.3,9.3,142,55,22.6,7.8,95,41,15.1,6,83,40,13.2,6,86,57,13.7,8.8,18,20,2.9,3.1,0,18,0,2.9,2,19,0.3,3,345,87,54.8,10.3,264,81,42,10.8,20,33,3.2,5.2,90500,22214,0.746180564730243,0.013703058383032
95,Middle Georgia,No,31020,3584,ZCTA,ZCTA5 31020,551,148,189,104,34.3,16.4,207,95,37.6,13.9,32,29,5.8,5.1,48,57,8.7,10.2,75,77,13.6,13.6,0,18,0,3.3,0,18,0,3.3,0,23,0,4.1,396,140,71.9,16.6,155,101,28.1,16.7,0,34,0,6.2,67800,17098,1.67971999161276,0.0272474946534499
96,Heart of Georgia Altamaha,No,31021,3585,ZCTA,ZCTA5 31021,5804,271,1072,184,18.5,3,1440,236,24.8,3.9,1098,197,18.9,3.3,937,175,16.1,2.9,854,175,14.7,2.9,323,86,5.6,1.5,65,37,1.1,0.6,15,43,0.3,0.7,2512,299,43.3,4.7,2889,317,49.8,4.9,403,104,6.9,1.8,118300,9355,2.37963726400925,0.0602172483529169
97,Heart of Georgia Altamaha,No,31022,3586,ZCTA,ZCTA5 31022,463,64,69,40,14.9,8.5,113,42,24.4,8.4,119,33,25.7,6.1,99,42,21.4,8.6,54,31,11.7,6.5,5,16,1.1,3.5,0,18,0,4,4,19,0.9,4.1,182,58,39.3,11.3,272,62,58.7,10.6,9,31,1.9,6.7,128800,20756,0.884714697490157,0.0108444234400178
98,HOGA / MG,No,31023,3587,ZCTA,ZCTA5 31023,3523,296,1121,243,31.8,6.4,992,190,28.2,4.9,536,162,15.2,4.4,447,155,12.7,4.3,188,95,5.3,2.6,217,90,6.2,2.5,9,26,0.3,0.7,13,26,0.4,0.7,2113,309,60,7.2,1171,243,33.2,6.3,239,97,6.8,2.7,81300,8048,1.87997327536399,0.0712543718601344
99,Middle Georgia,No,31024,3588,ZCTA,ZCTA5 31024,6441,374,976,271,15.2,4.1,1321,306,20.5,4.6,787,191,12.2,2.9,809,208,12.6,3.1,1033,226,16,3.4,922,222,14.3,3.3,464,140,7.2,2.1,129,78,2,1.2,2297,409,35.7,6,2629,362,40.8,5.1,1515,274,23.5,4,156600,13206,1.73879160541914,0.0879223870116257
100,Middle Georgia,No,31025,3589,ZCTA,ZCTA5 31025,372,89,23,36,6.2,9.5,118,70,31.7,17.3,18,24,4.8,6.3,34,29,9.1,7.5,46,33,12.4,8.3,103,57,27.7,14,30,36,8.1,9.6,0,23,0,6.1,141,79,37.9,19.2,98,50,26.3,11.8,133,72,35.8,17.3,189700,99716,0.768742035779314,0.0157706256823806
101,Heart of Georgia Altamaha,No,31027,3590,ZCTA,ZCTA5 31027,2167,223,657,183,30.3,7.8,794,191,36.6,8,379,102,17.5,4.3,144,87,6.6,3.9,158,81,7.3,3.6,3,20,0.1,0.9,32,39,1.5,1.8,0,33,0,1.5,1451,264,67,10.1,681,156,31.4,6.4,35,55,1.6,2.5,75100,11530,1.41461666330478,0.0448518482626572
102,Middle Georgia,No,31028,3591,ZCTA,ZCTA5 31028,1842,286,0,54,0,2.9,478,164,26,8,549,182,29.8,8.7,232,115,12.6,6,366,114,19.9,5.4,217,140,11.8,7.4,0,27,0,1.5,0,33,0,1.8,478,173,26,8.5,1147,244,62.3,9,217,147,11.8,7.8,142400,7903,0.307610521657568,0.000889053088159767
103,MG / TR,No,31029,3592,ZCTA,ZCTA5 31029,4264,298,360,150,8.4,3.5,727,163,17,3.6,875,181,20.5,4,701,198,16.4,4.5,632,148,14.8,3.3,628,161,14.7,3.6,295,101,6.9,2.3,46,50,1.1,1.2,1087,222,25.5,4.9,2208,307,51.8,6.2,969,197,22.7,4.3,158400,8541,1.93906589021671,0.0644945085606306
104,Middle Georgia,No,31030,3593,ZCTA,ZCTA5 31030,3893,306,586,156,15.1,3.8,1328,225,34.1,5.1,905,182,23.2,4.3,539,152,13.8,3.7,258,93,6.6,2.3,158,80,4.1,2,113,74,2.9,1.9,6,32,0.2,0.8,1914,273,49.2,5.9,1702,254,43.7,5.6,277,114,7.1,2.9,101400,7957,1.61549307804999,0.04363260869848
105,Middle Georgia,No,31031,3594,ZCTA,ZCTA5 31031,1859,200,599,141,32.2,6.7,536,141,28.8,6.9,449,163,24.2,8.4,216,92,11.6,4.8,16,12,0.9,0.6,23,33,1.2,1.8,9,9,0.5,0.5,11,30,0.6,1.6,1135,199,61.1,8.5,681,187,36.6,9.3,43,45,2.3,2.4,80400,14361,1.32545720619692,0.0335098739233584
106,Middle Georgia,No,31032,3595,ZCTA,ZCTA5 31032,4307,254,592,195,13.7,4.4,698,189,16.2,4.3,857,222,19.9,5,1047,231,24.3,5.2,845,169,19.6,3.7,243,95,5.6,2.2,25,37,0.6,0.9,0,36,0,0.8,1290,271,30,6,2749,362,63.8,7.5,268,108,6.2,2.5,150200,11289,1.53098811604015,0.0380785299371418
107,Heart of Georgia Altamaha,No,30411,3362,ZCTA,ZCTA5 30411,718,135,288,106,40.1,12.6,239,101,33.3,12.6,82,52,11.4,7,60,66,8.4,9,49,39,6.8,5.3,0,27,0,3.7,0,27,0,3.7,0,33,0,4.6,527,146,73.4,15,191,93,26.6,11.9,0,50,0,7,56600,9511,1.66192808730576,0.03787521718981
108,Middle Georgia,No,31033,3596,ZCTA,ZCTA5 31033,620,152,206,105,33.2,14.9,141,106,22.7,16.2,60,58,9.7,9,42,53,6.8,8.4,114,91,18.4,13.9,38,38,6.1,6,0,18,0,3,19,35,3.1,5.6,347,150,56,19.9,216,120,34.8,17.3,57,55,9.2,8.6,77600,40441,1.03603314027044,0.0186019588457603
109,Heart of Georgia Altamaha,No,30412,3363,ZCTA,ZCTA5 30412,28,22,0,37,0,131.3,8,20,28.6,66.6,17,21,60.7,58.7,3,6,10.7,19,0,18,0,65.7,0,18,0,65.7,0,18,0,65.7,0,23,0,80.4,8,42,28.6,147.2,20,29,71.4,85.6,0,34,0,122.8,112500,22647,0.119194076440995,0.000383135621764198
110,Central Savannah River Area,No,31035,3597,ZCTA,ZCTA5 31035,329,75,91,34,27.7,8,71,42,21.6,11.8,100,56,30.4,15.4,30,23,9.1,6.7,7,9,2.1,2.8,18,29,5.5,8.7,12,18,3.6,5.5,0,23,0,6.8,162,54,49.2,11.9,137,61,41.6,15.9,30,41,9.1,12.3,102200,37773,0.776871021719115,0.0130187947043398
111,CSRA / HOGA,No,30413,3364,ZCTA,ZCTA5 30413,487,125,140,73,28.7,13.2,152,75,31.2,13.3,83,67,17,13,59,39,12.1,7.4,53,43,10.9,8.4,0,18,0,3.8,0,18,0,3.8,0,23,0,4.6,292,105,60,15.2,195,89,40,15,0,34,0,7.1,78800,30056,1.63822552403328,0.0310349275007128
112,HOGA / MG,No,31036,3598,ZCTA,ZCTA5 31036,2530,293,302,104,11.9,3.9,726,185,28.7,6.5,465,132,18.4,4.8,558,162,22.1,5.9,315,149,12.5,5.7,132,72,5.2,2.8,26,28,1,1.1,6,31,0.2,1.2,1028,212,40.6,7,1338,257,52.9,8.1,164,83,6.5,3.2,126300,14610,2.10306403151654,0.063052597228469
113,Coastal Regional Commission,No,30415,3365,ZCTA,ZCTA5 30415,2012,276,263,138,13.1,6.6,442,165,22,7.6,320,133,15.9,6.2,363,153,18,7.2,406,155,20.2,7.2,183,103,9.1,5,35,40,1.7,2,0,33,0,1.6,705,215,35,9.5,1089,255,54.1,10.3,218,115,10.8,5.5,144900,41303,1.61695345411263,0.0403402664591068
114,Heart of Georgia Altamaha,No,31037,3599,ZCTA,ZCTA5 31037,742,224,279,112,37.6,10,255,154,34.4,18,85,53,11.5,6.3,77,80,10.4,10.3,41,54,5.5,7.1,5,15,0.7,2,0,18,0,2.5,0,23,0,3,534,190,72,13.7,203,110,27.4,12.3,5,33,0.7,4.4,63800,27014,1.13735414902479,0.0148035784455278
115,CRC / HOGA,No,30417,3366,ZCTA,ZCTA5 30417,2745,162,552,141,20.1,5,1003,189,36.5,6.5,394,108,14.4,3.9,344,104,12.5,3.7,321,98,11.7,3.5,85,42,3.1,1.5,27,30,1,1.1,19,37,0.7,1.3,1555,235,56.6,7.9,1059,179,38.6,6.1,131,63,4.8,2.3,88200,6317,1.4014739090348,0.0437321446170534
116,MG / NE,No,31038,3600,ZCTA,ZCTA5 31038,177,62,20,40,11.3,22.2,44,47,24.9,25.3,12,24,6.8,13.3,71,53,40.1,26.5,16,18,9,9.9,14,26,7.9,14.2,0,18,0,10.4,0,23,0,12.7,64,62,36.2,32.6,99,61,55.9,28.4,14,39,7.9,21.7,161600,56411,1.07979137581266,0.0232915960113413
117,Heart of Georgia Altamaha,No,30420,3367,ZCTA,ZCTA5 30420,332,92,122,64,36.7,16.3,63,31,19,7.7,64,44,19.3,12.1,46,42,13.9,12.1,23,22,6.9,6.4,14,17,4.2,5.1,0,18,0,5.5,0,23,0,6.8,185,71,55.7,14.7,133,65,40.1,16,14,34,4.2,10.1,75300,43907,0.850649993103201,0.0096009567593371
118,River Valley,No,31039,3601,ZCTA,ZCTA5 31039,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.186896691138994,0.000720157780024321
119,Heart of Georgia Altamaha,No,30421,3368,ZCTA,ZCTA5 30421,885,163,291,120,32.9,12.1,282,116,31.9,11.7,107,59,12.1,6.3,83,48,9.4,5.1,103,55,11.6,5.9,10,20,1.1,2.2,9,19,1,2.2,0,23,0,2.5,573,167,64.7,14.6,293,94,33.1,8.7,19,36,2.1,4,83400,8178,1.21838575612639,0.0253653310278215
120,River Valley,No,31041,3602,ZCTA,ZCTA5 31041,205,58,98,44,47.8,16.6,43,25,21,10.9,52,43,25.4,19.9,0,18,0,9,11,20,5.4,9.6,0,18,0,9,0,18,0,9,1,18,0.5,9,141,51,68.8,15.3,63,51,30.7,23.4,1,32,0.5,15.6,56400,32622,0.969508765686618,0.0136757477429227
121,Heart of Georgia Altamaha,No,30423,3369,ZCTA,ZCTA5 30423,23,14,4,35,17.4,150.7,8,20,34.8,84.2,0,18,0,79.9,10,18,43.5,72.2,1,13,4.3,57.9,0,18,0,79.9,0,18,0,79.9,0,23,0,97.9,12,40,52.2,171.4,11,29,47.8,121.8,0,34,0,149.5,,,0.0829261543403499,0.000197626702575954
122,Middle Georgia,No,31042,3603,ZCTA,ZCTA5 31042,416,78,199,71,47.8,14.5,73,41,17.5,9.3,90,49,21.6,11.2,31,20,7.5,4.5,19,23,4.6,5.5,4,15,1,3.5,0,18,0,4.4,0,23,0,5.4,272,82,65.4,15.4,140,58,33.7,12.4,4,33,1,7.8,58200,29376,1.12615144513787,0.0241798073708637
123,CRC / CSRA / HOGA,No,30425,3370,ZCTA,ZCTA5 30425,514,123,168,79,32.7,13.3,121,66,23.5,11.4,91,64,17.7,11.6,38,40,7.4,7.6,83,63,16.1,11.7,11,21,2.1,4,0,18,0,3.6,2,19,0.4,3.7,289,103,56.2,14.8,212,98,41.2,16.4,13,33,2.5,6.5,87500,26322,1.33151678309622,0.0181016648839371
124,Middle Georgia,No,31044,3604,ZCTA,ZCTA5 31044,809,124,279,98,34.5,10.9,300,110,37.1,12.3,42,27,5.2,3.3,117,59,14.5,6.9,60,46,7.4,5.5,11,23,1.4,2.8,0,18,0,2.3,0,23,0,2.8,579,147,71.6,14.5,219,79,27.1,8.9,11,37,1.4,4.6,69900,15567,1.78696266071928,0.0432745820689424
125,CRC / CSRA,No,30426,3371,ZCTA,ZCTA5 30426,177,61,60,48,33.9,24.7,29,28,16.4,14.5,61,44,34.5,21.8,20,24,11.3,12.9,6,14,3.4,8,1,13,0.6,7.5,0,18,0,10.4,0,23,0,12.7,89,56,50.3,26.2,87,52,49.2,24,1,32,0.6,18.1,75000,61197,1.32938166189211,0.0302086993993511
126,Central Savannah River Area,No,31045,3605,ZCTA,ZCTA5 31045,13,19,0,37,0,282.8,0,29,0,223.6,0,18,0,141.4,13,23,100,100,0,18,0,141.4,0,18,0,141.4,0,18,0,141.4,0,23,0,173.2,0,47,0,360.6,13,35,100,223.6,0,34,0,264.6,,,0.279156215107265,0.000928118764068528
127,Southwest Georgia,No,31730,3783,ZCTA,ZCTA5 31730,2023,263,439,159,21.7,7.4,782,206,38.7,8.8,413,154,20.4,7.2,253,105,12.5,4.9,92,62,4.5,3,13,25,0.6,1.3,21,26,1,1.3,10,30,0.5,1.5,1221,260,60.4,10.2,758,197,37.5,8.4,44,47,2.2,2.3,84100,8501,1.90395571167084,0.0620801483005836
128,CRC / HOGA,No,30427,3372,ZCTA,ZCTA5 30427,2947,332,651,201,22.1,6.3,736,214,25,6.7,365,139,12.4,4.5,393,145,13.3,4.7,605,175,20.5,5.5,151,88,5.1,2.9,0,30,0,1,46,63,1.6,2.1,1387,293,47.1,8.4,1363,267,46.3,7.4,197,112,6.7,3.7,108300,21209,2.18940085860968,0.059864778436123
129,Georgia Mountains,Yes,30041,3174,ZCTA,ZCTA5 30041,19731,431,288,96,1.5,0.5,280,101,1.4,0.5,678,141,3.4,0.7,1489,245,7.5,1.2,3986,343,20.2,1.7,9182,469,46.5,2.1,3578,284,18.1,1.4,250,86,1.3,0.4,568,139,2.9,0.7,6153,444,31.2,2.1,13010,555,65.9,2.4,356400,5670,0.968132762403439,0.0171551881567116
130,Middle Georgia,No,31046,3606,ZCTA,ZCTA5 31046,1272,194,185,109,14.5,8.3,252,107,19.8,7.9,60,45,4.7,3.5,397,146,31.2,10.5,162,82,12.7,6.2,71,55,5.6,4.2,145,78,11.4,5.9,0,23,0,1.8,437,153,34.4,10.9,619,174,48.7,11.5,216,98,17,7.3,167300,12109,1.18042063033435,0.0189229591348877
131,Southern Georgia,No,31733,3784,ZCTA,ZCTA5 31733,426,90,27,40,6.3,9.3,157,82,36.9,17.6,113,65,26.5,14.2,43,42,10.1,9.6,27,25,6.3,5.8,51,36,12,8.1,0,18,0,4.3,8,22,1.9,5.1,184,91,43.2,19.4,183,81,43,16.8,59,46,13.8,10.4,112100,23152,0.751741944637871,0.0144645753684857
132,Heart of Georgia Altamaha,No,30428,3373,ZCTA,ZCTA5 30428,534,106,238,98,44.6,16.1,148,62,27.7,10.2,69,43,12.9,7.7,44,37,8.2,6.7,8,17,1.5,3.2,21,16,3.9,2.9,6,19,1.1,3.6,0,23,0,4.2,386,116,72.3,16.3,121,59,22.7,10.1,27,34,5.1,6.2,55800,25847,1.66786832145058,0.0375469139750592
133,Atlanta Regional Commission,Yes,30043,3175,ZCTA,ZCTA5 30043,19875,602,376,173,1.9,0.9,188,99,0.9,0.5,1861,311,9.4,1.5,5501,531,27.7,2.5,8205,593,41.3,2.7,2986,362,15,1.8,616,162,3.1,0.8,142,91,0.7,0.5,564,199,2.8,1,15567,855,78.3,3.6,3744,407,18.8,2,220300,4586,0.677441401244636,0.00831824471051496
134,Middle Georgia,No,31047,3607,ZCTA,ZCTA5 31047,4139,385,180,133,4.3,3.2,252,106,6.1,2.5,315,111,7.6,2.6,1496,316,36.1,6.8,1277,247,30.9,5.2,524,170,12.7,3.9,95,79,2.3,1.9,0,36,0,0.9,432,170,10.4,4,3088,416,74.6,7.3,619,191,15,4.4,194500,6212,0.992088630033877,0.0181688741523
135,River Valley,No,31735,3785,ZCTA,ZCTA5 31735,284,86,57,64,20.1,21.6,82,56,28.9,17.5,17,18,6,6,41,37,14.4,12.4,62,37,21.8,11.1,15,21,5.3,7.4,0,18,0,6.5,10,24,3.5,8.5,139,85,48.9,25.8,120,55,42.3,14.7,25,37,8.8,12.9,,,0.44379976885446,0.00648427852801164
136,Heart of Georgia Altamaha,No,30429,3374,ZCTA,ZCTA5 30429,26,31,18,44,69.2,149.3,0,29,0,111.8,0,18,0,70.7,8,18,30.8,60.4,0,18,0,70.7,0,18,0,70.7,0,18,0,70.7,0,23,0,86.6,18,53,69.2,186.5,8,32,30.8,116.9,0,34,0,132.3,,,0.0613308945087874,5.38748577375918e-05
137,Atlanta Regional Commission,Yes,30044,3176,ZCTA,ZCTA5 30044,17324,663,351,138,2,0.8,676,178,3.9,1,3867,464,22.3,2.5,5820,540,33.6,2.8,4666,496,26.9,2.7,1773,283,10.2,1.6,171,81,1,0.5,0,54,0,0.3,1027,225,5.9,1.3,14353,868,82.9,3.9,1944,299,11.2,1.7,174400,4030,0.541768431012624,0.00623812307849813
138,Heart of Georgia Altamaha,No,31049,3608,ZCTA,ZCTA5 31049,497,97,178,74,35.8,13.2,121,46,24.3,8,105,52,21.1,9.6,60,56,12.1,10.9,12,24,2.4,4.8,0,18,0,3.7,0,18,0,3.7,21,37,4.2,7.4,299,88,60.2,13.1,177,80,35.6,14.5,21,45,4.2,9,79800,23570,1.20525690176616,0.0246282666606337
139,Southwest Georgia,No,31738,3786,ZCTA,ZCTA5 31738,585,115,131,52,22.4,7.7,204,78,34.9,11.3,95,52,16.2,8.4,85,38,14.5,5.8,54,32,9.2,5.1,7,17,1.2,2.9,9,10,1.5,1.7,0,23,0,3.8,335,93,57.3,11.3,234,72,40,9.5,16,30,2.7,5.1,88600,21468,0.730245645407429,0.0154552332610182
